gene	rice-defline
GRMZM2G367829	expressed protein
GRMZM2G367834	response regulator receiver domain containing protein, expressed
GRMZM2G367842	Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed
GRMZM2G367846	ulp1 protease family, C-terminal catalytic domain containing protein, expressed
GRMZM2G367857	REV1, putative, expressed
GRMZM2G367861	saccharopine dehydrogenase, putative, expressed
GRMZM2G367867	DUF617 domain containing protein, expressed
GRMZM2G367876	no apical meristem protein, putative, expressed
GRMZM2G367877	ribosomal protein L4, putative, expressed
GRMZM2G367886	histone deacetylase 19, putative, expressed
GRMZM2G367941	synaptobrevin-related family protein, putative, expressed
GRMZM2G367994	eukaryotic translation initiation factor, putative, expressed
GRMZM2G368041	mitochondrial import inner membrane translocase subunit Tim17, putative, expressed
GRMZM2G368047	protein binding protein, putative, expressed
GRMZM2G368058	zinc-binding alcohol dehydrogenase domain-containing protein 2, putative, expressed
GRMZM2G368126	WD-40 repeat family protein, putative, expressed
GRMZM2G368134	expressed protein
GRMZM2G368151	harpin-induced protein 1 domain containing protein, expressed
GRMZM2G368195	ATP/GTP binding protein, putative, expressed
GRMZM2G368206	PHD-finger domain containing protein, putative, expressed
GRMZM2G368249	peptidyl-prolyl cis-trans isomerase, cyclophilin type, putative, expressed
GRMZM2G368303	ZOS9-03 - C2H2 zinc finger protein, expressed
GRMZM2G368350	vacuolar sorting protein, putative, expressed
GRMZM2G368358	retrotransposon protein, putative, unclassified, expressed
GRMZM2G368380	exosome complex exonuclease, putative, expressed
GRMZM2G368388	TKL_IRAK_CR4L.2 - The CR4L subfamily has homology with Crinkly4, expressed
GRMZM2G368398	transposon protein, putative, unclassified, expressed
GRMZM2G368410	expressed protein
GRMZM2G368411	gibberellin 20 oxidase 2, putative, expressed
GRMZM2G368436	expressed protein
GRMZM2G368439	ulp1 protease family, C-terminal catalytic domain containing protein, expressed
GRMZM2G368448	MATH domain containing protein, expressed
GRMZM2G368486	ABC1 family domain containing protein, putative, expressed
GRMZM2G368491	bZIP transcription factor domain containing protein, expressed
GRMZM2G368556	expressed protein
GRMZM2G368574	HVA22, putative, expressed
GRMZM2G368591	integral membrane protein DUF6 containing protein, expressed
GRMZM2G368610	triacylglycerol lipase like protein, putative, expressed
GRMZM2G368618	MTN26L5 - MtN26 family protein precursor, expressed
GRMZM2G368632	TKL_IRAK_DUF26-la.6 - DUF26 kinases have homology to DUF26 containing loci, expressed
GRMZM2G368648	receptor kinase, putative, expressed
GRMZM2G368658	DEAD-box ATP-dependent RNA helicase, putative, expressed
GRMZM2G368662	expressed protein
GRMZM2G368663	jacalin-like lectin domain containing protein, expressed
GRMZM2G368678	expressed protein
GRMZM2G368698	invertase/pectin methylesterase inhibitor family protein, putative, expressed
GRMZM2G368728	ATXR, putative, expressed
GRMZM2G368738	ribosomal protein L7Ae, putative, expressed
GRMZM2G368746	AP-1 complex subunit gamma-1, putative, expressed
GRMZM2G368755	pentatricopeptide, putative, expressed
GRMZM2G368765	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G368767	expressed protein
GRMZM2G368799	inositol hexaphosphate kinase, putative, expressed
GRMZM2G368806	GTPase-activating protein, putative, expressed
GRMZM2G368807	calreticulin precursor protein, putative, expressed
GRMZM2G368827	nodulin MtN3 family protein, putative, expressed
GRMZM2G368838	AP2 domain containing protein, expressed
GRMZM2G368861	DEF8 - Defensin and Defensin-like DEFL family, expressed
GRMZM2G368865	verticillium wilt disease resistance protein, putative, expressed
GRMZM2G368886	expansin precursor, putative, expressed
GRMZM2G368890	gamma-thionin family domain containing protein, expressed
GRMZM2G368898	BSD domain-containing protein, putative, expressed
GRMZM2G368902	bifunctional purine biosynthesis protein purH, putative, expressed
GRMZM2G368908	MEE34, putative, expressed
GRMZM2G368909	GRAS family transcription factor domain containing protein, expressed
GRMZM2G369014	CENP-C1, putative, expressed
GRMZM2G369018	BES1/BZR1 homolog protein, putative, expressed
GRMZM2G369047	vacuolar protein sorting-associated protein 16, putative, expressed
GRMZM2G369069	expressed protein
GRMZM2G369071	nodulin, putative, expressed
GRMZM2G369102	serine/threonine-protein kinase receptor precursor, putative, expressed
GRMZM2G369119	expressed protein
GRMZM2G369130	endonuclease/exonuclease/phosphatase family domain containing protein, expressed
GRMZM2G369139	glutamate receptor, putative, expressed
GRMZM2G369149	indole-3-glycerol phosphate lyase, chloroplast precursor, putative, expressed
GRMZM2G369182	expressed protein
GRMZM2G369216	calcium-transporting ATPase, endoplasmic reticulum-type, putative, expressed
GRMZM2G369242	DUF260 domain containing protein, putative, expressed
GRMZM2G369243	DUF292 domain containing protein, expressed
GRMZM2G369249	expressed protein
GRMZM2G369253	C-methyltransferase, putative, expressed
GRMZM2G369260	DNA polymerase delta subunit 4 family, putative, expressed
GRMZM2G369266	expressed protein
GRMZM2G369284	OsFBX209 - F-box domain containing protein, expressed
GRMZM2G369309	HIRAN domain containing protein, putative, expressed
GRMZM2G369340	small G protein family protein, putative, expressed
GRMZM2G369348	zinc finger protein, putative, expressed
GRMZM2G369373	tetratricopeptide repeat domain containing protein, expressed
GRMZM2G369394	peptide chain release factor protein, putative, expressed
GRMZM2G369401	cycloartenol synthase, putative, expressed
GRMZM2G369432	invertase/pectin methylesterase inhibitor family protein, putative, expressed
GRMZM2G369445	armadillo, putative, expressed
GRMZM2G369472	AP2 domain containing protein, expressed
GRMZM2G369485	OsGrx_S17 - glutaredoxin subgroup II, expressed
GRMZM2G369526	ATP synthase epsilon chain, mitochondrial, putative, expressed
GRMZM2G369546	CAMK_CAMK_like_CG18020d.1 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
GRMZM2G369559	expressed protein
GRMZM2G369629	basic helix-loop-helix, putative, expressed
GRMZM2G369639	RNA recognition motif containing protein, putative, expressed
GRMZM2G369652	rho-GTPase-activating protein-like, putative, expressed
GRMZM2G369685	AGAP000425-PA, putative, expressed
GRMZM2G369701	dnaJ homolog subfamily C member 7, putative, expressed
GRMZM2G369703	expressed protein
GRMZM2G369705	AGAP000425-PA, putative, expressed
GRMZM2G369721	gibberellin receptor GID1L2, putative, expressed
GRMZM2G369742	VQ domain containing protein, putative, expressed
GRMZM2G369792	pentatricopeptide, putative, expressed
GRMZM2G369799	MYB family transcription factor, putative, expressed
GRMZM2G369803	reticuline oxidase-like protein precursor, putative, expressed
GRMZM2G369815	GDSL-like lipase/acylhydrolase, putative, expressed
GRMZM2G369845	phenylalanine ammonia-lyase, putative, expressed
GRMZM2G369882	expressed protein
GRMZM2G369899	WD domain, G-beta repeat domain containing protein, expressed
GRMZM2G369912	transposon protein, putative, unclassified, expressed
GRMZM2G369931	PPR repeat domain containing protein, putative, expressed
GRMZM2G369939	expressed protein
GRMZM2G369945	retrotransposon protein, putative, unclassified, expressed
GRMZM2G369951	GIL1, putative, expressed
GRMZM2G369987	FAD binding domain containing protein, expressed
GRMZM2G369991	L1P family of ribosomal proteins domain containing protein, expressed
GRMZM2G369993	transposon protein, putative, CACTA, En/Spm sub-class, expressed
GRMZM2G369998	sas10/Utp3 family protein, expressed
GRMZM2G370015	ATCPSF30/CPSF30, putative, expressed
GRMZM2G370018	protein kinase domain containing protein, expressed
GRMZM2G370026	bZIP transcription factor domain containing protein, expressed
GRMZM2G370044	plant-specific domain TIGR01589 family protein, expressed
GRMZM2G370048	NAD dependent epimerase/dehydratase family domain containing protein, expressed
GRMZM2G370081	expressed protein
GRMZM2G370155	expressed protein
GRMZM2G370175	expressed protein
GRMZM2G370188	ubiquitin carboxyl-terminal hydrolase family protein, expressed
GRMZM2G370193	expressed protein
GRMZM2G370199	expressed protein
GRMZM2G370275	triosephosphate isomerase, cytosolic, putative, expressed
GRMZM2G370302	peroxin-3 family protein, putative, expressed
GRMZM2G370326	DNA-directed RNA polymerase 3A, chloroplast precursor, putative, expressed
GRMZM2G370332	homeobox protein knotted-1, putative, expressed
GRMZM2G370357	aspartic proteinase oryzasin-1 precursor, putative, expressed
GRMZM2G370377	serine palmitoyltransferase 2, putative, expressed
GRMZM2G370405	DUF538 domain containing protein, putative, expressed
GRMZM2G370407	OsFBX108 - F-box domain containing protein, expressed
GRMZM2G370421	expressed protein
GRMZM2G370425	MYB family transcription factor, putative, expressed
GRMZM2G370473	chloroplast 30S ribosomal protein S19, putative
GRMZM2G370484	PPR repeat containing protein, expressed
GRMZM2G370507	heavy metal associated domain containing protein, expressed
GRMZM2G370510	integral membrane protein, putative, expressed
GRMZM2G370516	expressed protein
GRMZM2G370519	cytochrome P450, putative, expressed
GRMZM2G370521	AAA-type ATPase family protein, putative, expressed
GRMZM2G370529	expressed protein
GRMZM2G370538	retrotransposon protein, putative, unclassified, expressed
GRMZM2G370546	expressed protein
GRMZM2G370585	expressed protein
GRMZM2G370693	T-complex protein, putative, expressed
GRMZM2G370707	expressed protein
GRMZM2G370712	uncharacterized ACR, YggU family COG1872 containing protein, expressed
GRMZM2G370713	NIN, putative, expressed
GRMZM2G370715	retrotransposon, putative, centromere-specific, expressed
GRMZM2G370741	eukaryotic aspartyl protease domain containing protein, expressed
GRMZM2G370745	cytochrome P450 72A1, putative, expressed
GRMZM2G370756	transferase family protein, putative, expressed
GRMZM2G370777	OsMADS22 - MADS-box family gene with MIKCc type-box, expressed
GRMZM2G370797	N2, N2-dimethylguanosine tRNA methyltransferase, putative, expressed
GRMZM2G370815	PB1 domain containing protein, expressed
GRMZM2G370848	hAT dimerisation domain-containing protein, putative, expressed
GRMZM2G370852	3-isopropylmalate dehydratase large subunit 2, putative, expressed
GRMZM2G370858	transposon protein, putative, Mariner sub-class, expressed
GRMZM2G370863	ZF-HD protein dimerisation region containing protein, expressed
GRMZM2G370893	peptide chain release factor protein, putative, expressed
GRMZM2G370896	MYB family transcription factor, putative, expressed
GRMZM2G370905	eukaryotic aspartyl protease domain containing protein, expressed
GRMZM2G370915	transmembrane 9 superfamily member, putative, expressed
GRMZM2G370928	peroxidase precursor, putative, expressed
GRMZM2G370951	START domain containing protein, expressed
GRMZM2G370985	retrotransposon protein, putative, unclassified, expressed
GRMZM2G370988	tropinone reductase 2, putative, expressed
GRMZM2G370991	ethylene-insensitive protein, putative, expressed
GRMZM2G371017	integral membrane protein DUF6 containing protein, expressed
GRMZM2G371033	OsSPL2 - SBP-box gene family member, expressed
GRMZM2G371044	hAT dimerisation domain containing protein, expressed
GRMZM2G371056	expressed protein
GRMZM2G371058	dof zinc finger domain containing protein, putative, expressed
GRMZM2G371063	OsGrx_C17 - glutaredoxin subgroup III, expressed
GRMZM2G371077	LYK, putative, expressed
GRMZM2G371079	expressed protein
GRMZM2G371137	leucine-rich repeat transmembrane protein kinase, putative, expressed
GRMZM2G371159	RALFL4 - Rapid ALkalinization Factor RALF family protein precursor, expressed
GRMZM2G371167	UP-9A, putative, expressed
GRMZM2G371176	IQ calmodulin-binding motif family protein, expressed
GRMZM2G371210	type I inositol-1,4,5-trisphosphate 5-phosphatase, putative, expressed
GRMZM2G371246	hAT dimerisation domain-containing protein, putative, expressed
GRMZM2G371271	peptidyl-prolyl cis-trans isomerase, putative, expressed
GRMZM2G371276	CAMK_KIN1/SNF1/Nim1_like.6 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
GRMZM2G371277	hAT dimerisation domain-containing protein, putative, expressed
GRMZM2G371313	expressed protein
GRMZM2G371316	expressed protein
GRMZM2G371345	anthocyanidin 3-O-glucosyltransferase, putative, expressed
GRMZM2G371375	late embryogenesis abundant protein, group 3, putative, expressed
GRMZM2G371462	expressed protein
GRMZM2G371486	heavy metal-associated domain containing protein, expressed
GRMZM2G371524	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G371606	transposon protein, putative, unclassified, expressed
GRMZM2G371620	ATP synthase protein YMF19, putative, expressed
GRMZM2G371628	ulp1 protease family, C-terminal catalytic domain containing protein, expressed
GRMZM2G371660	protein of unknown function DUF1296 domain containing protein, expressed
GRMZM2G371670	TPR repeat, putative, expressed
GRMZM2G371679	expressed protein
GRMZM2G371695	ATGRIP/GRIP, putative, expressed
GRMZM2G371721	heat shock protein DnaJ, putative, expressed
GRMZM2G371745	retrotransposon protein, putative, unclassified, expressed
GRMZM2G371793	HAD superfamily phosphatase, putative, expressed
GRMZM2G371795	expressed protein
GRMZM2G371839	membrane associated DUF588 domain containing protein, putative, expressed
GRMZM2G371857	tetratricopeptide repeat domain containing protein, expressed
GRMZM2G371870	MYB family transcription factor, putative, expressed
GRMZM2G371890	expressed protein
GRMZM2G371912	acetyltransferase, GNAT family protein, expressed
GRMZM2G371933	expressed protein
GRMZM2G371937	KH domain-containing protein, putative, expressed
GRMZM2G371944	expressed protein
GRMZM2G372058	expressed protein
GRMZM2G372068	UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed
GRMZM2G372074	LTPL128 - Protease inhibitor/seed storage/LTP family protein precursor, expressed
GRMZM2G372077	expressed protein
GRMZM2G372081	retrotransposon protein, putative, unclassified, expressed
GRMZM2G372102	LTPL126 - Protease inhibitor/seed storage/LTP family protein precursor, expressed
GRMZM2G372156	ribosomal protein, putative, expressed
GRMZM2G372171	MBTB30 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed
GRMZM2G372180	kinesin-4, putative, expressed
GRMZM2G372200	expressed protein
GRMZM2G372207	nodulin, putative, expressed
GRMZM2G372293	serine palmitoyltransferase 1, putative, expressed
GRMZM2G372297	protein phosphatase 2C, putative, expressed
GRMZM2G372398	Sel1 repeat domain containing protein, putative, expressed
GRMZM2G372440	expressed protein
GRMZM2G372457	expressed protein
GRMZM2G372475	DUF1336 domain containing protein, expressed
GRMZM2G372477	ATP-binding region, ATPase-like domain containing protein, expressed
GRMZM2G372484	piwi domain containing protein, expressed
GRMZM2G372502	alpha-galactosidase precursor, putative, expressed
GRMZM2G372509	expressed protein
GRMZM2G372537	ulp1 protease family, C-terminal catalytic domain containing protein, expressed
GRMZM2G372553	expressed protein
GRMZM2G372632	PPR repeat domain containing protein, putative, expressed
GRMZM2G372633	expressed protein
GRMZM2G372684	retrotransposon protein, putative, unclassified, expressed
GRMZM2G372709	vacuolar ATP synthase subunit d, putative, expressed
GRMZM2G372780	diacylglycerol kinase, putative, expressed
GRMZM2G372812	coatomer subunit beta, putative, expressed
GRMZM2G372870	dnaJ domain containing protein, expressed
GRMZM2G372871	zinc finger protein, putative, expressed
GRMZM2G372877	GRAM and C2 domains containing protein, putative, expressed
GRMZM2G372928	histone-lysine N-methyltransferase ATX5, putative, expressed
GRMZM2G372930	kelch repeat protein, putative, expressed
GRMZM2G372952	ZOS3-10 - C2H2 zinc finger protein, expressed
GRMZM2G372961	retrotransposon protein, putative, LINE subclass, expressed
GRMZM2G372985	expressed protein
GRMZM2G373011	transcription initiation factor IID, 18kD subunit family protein, expressed
GRMZM2G373040	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase protein, putative, expressed
GRMZM2G373106	CHIT3 - Chitinase family protein precursor, expressed
GRMZM2G373124	cytokinin-O-glucosyltransferase 2, putative, expressed
GRMZM2G373175	ATP-dependent RNA helicase DHX36, putative, expressed
GRMZM2G373227	DUF647 domain containing protein, putative, expressed
GRMZM2G373246	hAT dimerisation domain containing protein, expressed
GRMZM2G373272	expressed protein
GRMZM2G373277	expressed protein
GRMZM2G373292	mitochondrial ATP synthase precursor, putative, expressed
GRMZM2G373322	receptor protein kinase TMK1 precursor, putative, expressed
GRMZM2G373329	U-box domain containing protein, expressed
GRMZM2G373341	GTP binding protein, putative, expressed
GRMZM2G373396	expressed protein
GRMZM2G373407	3-deoxy-manno-octulosonate cytidylyltransferase, putative, expressed
GRMZM2G373410	nodulin, putative, expressed
GRMZM2G373420	expressed protein
GRMZM2G373432	KH domain-containing protein, putative, expressed
GRMZM2G373435	tyrosine protein kinase domain containing protein, putative, expressed
GRMZM2G373447	aquaporin protein, putative, expressed
GRMZM2G373459	expressed protein
GRMZM2G373495	RNA recognition motif containing protein, putative, expressed
GRMZM2G373522	dehydrin, putative, expressed
GRMZM2G373536	retrotransposon protein, putative, unclassified, expressed
GRMZM2G373554	expressed protein
GRMZM2G373578	OsProCP2 - Putative Lysosomal Pro-x Carboxypeptidase homologue, expressed
GRMZM2G373589	expressed protein
GRMZM2G373607	OsSCP47 - Putative Serine Carboxypeptidase homologue, expressed
GRMZM2G373621	DUF292 domain containing protein, expressed
GRMZM2G373652	DNAJ heat shock N-terminal domain-containing protein, putative, expressed
GRMZM2G373685	DNA binding protein, putative, expressed
GRMZM2G373717	transmembrane protein, putative, expressed
GRMZM2G373738	ras-related protein, putative, expressed
GRMZM2G373761	amino acid permease family protein, putative, expressed
GRMZM2G373779	BSD domain containing protein, expressed
GRMZM2G373828	OsCML11 - Calmodulin-related calcium sensor protein, expressed
GRMZM2G373849	ATP-dependent Clp protease ATP-binding subunit clpA homolog CD4B,chloroplast precursor, putative, expressed
GRMZM2G373859	GDU1, putative, expressed
GRMZM2G373887	protein phosphatase 2C, putative, expressed
GRMZM2G373893	lipase precursor, putative, expressed
GRMZM2G373914	expressed protein
GRMZM2G373928	osFTL1 FT-Like1 homologous to Flowering Locus T gene; contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein, expressed
GRMZM2G373933	peptide transporter PTR2, putative, expressed
GRMZM2G373936	alpha-1,4-fucosyltransferase, putative, expressed
GRMZM2G374010	heavy metal-associated domain containing protein, expressed
GRMZM2G374024	OsFBDUF52 - F-box and DUF domain containing protein, expressed
GRMZM2G374030	ELM2 domain containing protein, putative, expressed
GRMZM2G374044	protein kinase domain containing protein, expressed
GRMZM2G374065	extra-large G-protein-related, putative, expressed
GRMZM2G374074	DUF1645 domain containing protein, putative, expressed
GRMZM2G374084	retrotransposon protein, putative, unclassified, expressed
GRMZM2G374088	CGMC_MAPKCMGC_2.7 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed
GRMZM2G374128	hAT dimerisation domain containing protein, expressed
GRMZM2G374169	RNA recognition motif containing protein, expressed
GRMZM2G374176	OsFBK23 - F-box domain and kelch repeat containing protein, expressed
GRMZM2G374203	Disease resistance/zinc finger/chromosome condensation-like region protein, putative, expressed
GRMZM2G374213	glyoxalase family protein, putative, expressed
GRMZM2G374248	expansin precursor, putative, expressed
GRMZM2G374255	pattern formation protein, putative, expressed
GRMZM2G374263	photosystem II reaction center protein Z, putative, expressed
GRMZM2G374282	expressed protein
GRMZM2G374302	pyridoxal-dependent decarboxylase protein, putative, expressed
GRMZM2G374309	TKL_IRAK_DUF26-lc.10 - DUF26 kinases have homology to DUF26 containing loci, expressed
GRMZM2G374313	carbonyl reductase 3, putative, expressed
GRMZM2G374336	VQ domain containing protein, putative, expressed
GRMZM2G374373	hAT dimerisation domain-containing protein, putative, expressed
GRMZM2G374375	polygalacturonase, putative, expressed
GRMZM2G374385	nucleolar complex protein 2, putative, expressed
GRMZM2G374435	kinesin motor domain containing protein, putative, expressed
GRMZM2G374438	FGGY family of carbohydrate kinases, putative, expressed
GRMZM2G374475	GDSL-like lipase/acylhydrolase, putative, expressed
GRMZM2G374574	HECT-domain domain containing protein, expressed
GRMZM2G374596	GHMP kinases ATP-binding protein, putative, expressed
GRMZM2G374629	expressed protein
GRMZM2G374648	CESA1 - cellulose synthase, expressed
GRMZM2G374658	OsFBK18 - F-box domain and kelch repeat containing protein, expressed
GRMZM2G374725	WRKY90, expressed
GRMZM2G374779	palmitoyl-protein thioesterase 1 precursor, putative, expressed
GRMZM2G374801	tm-1GCR237 protein, putative, expressed
GRMZM2G374812	transporter family protein, putative, expressed
GRMZM2G374817	SH3 domain containing protein, expressed
GRMZM2G374827	non-lysosomal glucosylceramidase, putative, expressed
GRMZM2G374881	peptidase, T1 family, putative, expressed
GRMZM2G374901	expressed protein
GRMZM2G374938	peptidase, T1 family, putative, expressed
GRMZM2G374969	WD repeat-containing protein 8, putative, expressed
GRMZM2G374971	thaumatin, putative, expressed
GRMZM2G374973	phosphatidylinositol-4-phosphate 5-kinase, putative, expressed
GRMZM2G374986	MYB family transcription factor, putative, expressed
GRMZM2G374989	boron transporter protein, putative, expressed
GRMZM2G375002	ras-related protein, putative, expressed
GRMZM2G375011	nucleotide pyrophosphatase/phosphodiesterase, putative, expressed
GRMZM2G375015	expressed protein
GRMZM2G375064	glutamate synthase, chloroplast precursor, putative, expressed
GRMZM2G375085	zinc finger DHHC domain-containing protein, putative, expressed
GRMZM2G375113	peptide transporter PTR2, putative, expressed
GRMZM2G375116	potassium transporter, putative, expressed
GRMZM2G375123	MCM2 - Putative minichromosome maintenance MCM complex subunit 2, expressed
GRMZM2G375153	RING-H2 finger protein ATL3J, putative, expressed
GRMZM2G375159	transferase family protein, putative, expressed
GRMZM2G375163	expressed protein
GRMZM2G375172	expressed protein
GRMZM2G375197	expressed protein
GRMZM2G375222	retrotransposon, putative, centromere-specific, expressed
GRMZM2G375236	TKL_IRAK_CR4L.4 - The CR4L subfamily has homology with Crinkly4, expressed
GRMZM2G375302	expressed protein
GRMZM2G375307	transcription factor like protein, putative, expressed
GRMZM2G375310	expressed protein
GRMZM2G375391	expressed protein
GRMZM2G375420	TPR repeat region family protein, expressed
GRMZM2G375425	expressed protein
GRMZM2G375448	core histone H2A/H2B/H3/H4, putative, expressed
GRMZM2G375487	NADP-dependent malic enzyme, putative, expressed
GRMZM2G375504	amino acid kinase, putative, expressed
GRMZM2G375517	hsp20/alpha crystallin family protein, putative, expressed
GRMZM2G375585	hAT dimerisation domain containing protein, expressed
GRMZM2G375593	villin protein, putative, expressed
GRMZM2G375597	sorting nexin 1, putative, expressed
GRMZM2G375602	GDSL-like lipase/acylhydrolase, putative, expressed
GRMZM2G375667	DNA-directed RNA polymerase III subunit RPC9, putative, expressed
GRMZM2G375672	GIL1, putative, expressed
GRMZM2G375675	NIN, putative, expressed
GRMZM2G375696	expressed protein
GRMZM2G375699	protein binding protein, putative, expressed
GRMZM2G375707	OsMADS91 - MADS-box family gene with M-beta type-box, expressed
GRMZM2G375762	dynein light chain type 1 domain containing protein, expressed
GRMZM2G375782	OsCML20 - Calmodulin-related calcium sensor protein, expressed
GRMZM2G375807	ABC transporter, ATP-binding protein, putative, expressed
GRMZM2G375833	phosphoglucomutase, putative, expressed
GRMZM2G375843	rp1, putative, expressed
GRMZM2G375856	expressed protein
GRMZM2G375904	AGC_AGC_other_NDRh_TRCd.2 - ACG kinases include homologs to PKA, PKG and PKC, expressed
GRMZM2G375947	transporter, putative, expressed
GRMZM2G375956	expressed protein
GRMZM2G375975	CGMC_MAPKCMGC_2.5 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed
GRMZM2G375984	DEK C terminal domain containing protein, expressed
GRMZM2G375999	type II intron maturase protein, putative, expressed
GRMZM2G376059	mRNA-capping enzyme, putative, expressed
GRMZM2G376061	ZOS1-15 - C2H2 zinc finger protein, expressed
GRMZM2G376063	T-complex protein, putative, expressed
GRMZM2G376067	expressed protein
GRMZM2G376074	ubiquitin carboxyl-terminal hydrolase 26, putative, expressed
GRMZM2G376085	armadillo/beta-catenin repeat family protein, putative, expressed
GRMZM2G376103	expressed protein
GRMZM2G376105	expressed protein
GRMZM2G376117	peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed
GRMZM2G376154	OsFBK20 - F-box domain and kelch repeat containing protein, expressed
GRMZM2G376255	AP2 domain containing protein, expressed
GRMZM2G376265	GDSL-like lipase/acylhydrolase, putative, expressed
GRMZM2G376272	UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed
GRMZM2G376282	expressed protein
GRMZM2G376310	pleiotropic drug resistance protein, putative, expressed
GRMZM2G376416	Os9bglu31 - beta-glucosidase, dhurrinase, similar to G. max hydroxyisourate hydrolase, expressed
GRMZM2G376432	eukaryotic aspartyl protease domain containing protein, expressed
GRMZM2G376433	carotenoid cleavage dioxygenase, putative, expressed
GRMZM2G376438	HEAT repeat family protein, putative, expressed
GRMZM2G376524	protein kinase domain containing protein, expressed
GRMZM2G376540	proline-rich protein 6, putative, expressed
GRMZM2G376542	OsPDIL2-3 protein disulfide isomerase PDIL2-3, expressed
GRMZM2G376548	HVA22, putative, expressed
GRMZM2G376569	expressed protein
GRMZM2G376595	lecithine cholesterol acyltransferase, putative, expressed
GRMZM2G376600	mitochondrial-processing peptidase subunit, mitochondrial precursor, putative, expressed
GRMZM2G376618	pectinesterase inhibitor domain containing protein, expressed
GRMZM2G376619	RNA recognition motif containing protein, putative, expressed
GRMZM2G376632	expressed protein
GRMZM2G376661	cytochrome P450, putative, expressed
GRMZM2G376674	acanthoscurrin-1 precursor, putative, expressed
GRMZM2G376681	cyclin-dependent kinase G-1, putative, expressed
GRMZM2G376684	MYB family transcription factor, putative, expressed
GRMZM2G376705	RNA methyltransferase protein, putative, expressed
GRMZM2G376708	stripe rust resistance protein Yr10, putative, expressed
GRMZM2G376727	translocon-associated protein beta domain containing protein, expressed
GRMZM2G376731	transportin-2, putative, expressed
GRMZM2G376743	expressed protein
GRMZM2G376757	expressed protein
GRMZM2G376760	uncharacterized protein yqjG, putative, expressed
GRMZM2G376809	expressed protein
GRMZM2G376825	aspartic proteinase nepenthesin precursor, putative, expressed
GRMZM2G376829	tRNA-splicing endonuclease positive effector-related, putative, expressed
GRMZM2G376905	oryzain alpha chain precursor, putative, expressed
GRMZM2G376918	peptide methionine sulfoxide reductase, putative, expressed
GRMZM2G376927	expressed protein
GRMZM2G376930	OsClp10 - Putative Clp protease homologue, expressed
GRMZM2G376957	histone H3, putative, expressed
GRMZM2G376959	WD domain, G-beta repeat domain containing protein, expressed
GRMZM2G377020	zinc finger family protein, putative, expressed
GRMZM2G377049	dynamin family protein, putative, expressed
GRMZM2G377079	EDM2, putative, expressed
GRMZM2G377090	harpin-induced protein 1 domain containing protein, expressed
GRMZM2G377115	 ELMO/CED-12 family protein, putative, expressed
GRMZM2G377123	signal recognition particle 19 kDa protein, putative, expressed
GRMZM2G377131	expressed protein
GRMZM2G377143	thaumatin, putative, expressed
GRMZM2G377161	nitrate-induced NOI protein, putative, expressed
GRMZM2G377165	ZOS8-11 - C2H2 zinc finger protein, expressed
GRMZM2G377168	photosystem II 5 kDa protein, chloroplast precursor, putative, expressed
GRMZM2G377185	expressed protein
GRMZM2G377192	LYK, putative, expressed
GRMZM2G377194	cyclin, putative, expressed
GRMZM2G377199	cysteine-rich receptor-like protein kinase 8 precursor, putative, expressed
GRMZM2G377215	COBRA-like protein 7 precursor, putative, expressed
GRMZM2G377217	WRKY36, expressed
GRMZM2G377237	helicase conserved C-terminal domain containing protein, expressed
GRMZM2G377265	DUF250 domain containing protein, putative, expressed
GRMZM2G377311	cyclin-T1-4, putative, expressed
GRMZM2G377341	acetyl-CoA carboxylase, putative, expressed
GRMZM2G377344	GHMP kinases ATP-binding protein, putative, expressed
GRMZM2G377369	expressed protein
GRMZM2G377373	OsFBT4 - F-box and tubby domain containing protein, expressed
GRMZM2G377379	expressed protein
GRMZM2G377443	OsSCP18 - Putative Serine Carboxypeptidase homologue, expressed
GRMZM2G377451	NADPH reductase, putative, expressed
GRMZM2G377458	peptidase, T1 family, putative, expressed
GRMZM2G377461	KH domain-containing protein, putative, expressed
GRMZM2G377477	expressed protein
GRMZM2G377487	rhodanese-like domain containing protein, putative, expressed
GRMZM2G377502	transporter family protein, putative, expressed
GRMZM2G377520	60S acidic ribosomal protein, putative, expressed
GRMZM2G377539	expressed protein
GRMZM2G377550	PHD finger protein, putative, expressed
GRMZM2G377553	expressed protein
GRMZM2G377555	transporter, major facilitator family, putative, expressed
GRMZM2G377563	succinate dehydrogenase iron-sulfur subunit 2,mitochondrial precursor, putative, expressed
GRMZM2G377575	CESA1 - cellulose synthase, expressed
GRMZM2G377589	holliday junction resolvase, putative, expressed
GRMZM2G377595	wound responsive protein, putative, expressed
